Date,Open,High,Low,Close,Volume,Profit/Share,Delta
9/3/2019,30.83,31.139999,30.68,30.9,38029300,0.07,0.002270516
9/4/2019,31.32,31.83,30.85,30.950001,46614600,-0.369999,-0.011813506
9/5/2019,31.790001,32.049999,31.120001,31.5,57861200,-0.290001,-0.009122397
9/6/2019,31.5,31.51,30.48,30.559999,51673000,-0.940001,-0.029841302
9/9/2019,30.93,31.18,30.24,30.5,54413200,-0.43,-0.01390236
9/10/2019,30.219999,30.379999,29.77,30.23,48604800,0.010001,0.00033094
9/11/2019,30.379999,30.43,29.51,29.76,50631700,-0.619999,-0.020408131
9/12/2019,30.08,30.84,29.950001,30.209999,53618300,0.129999,0.004321775
9/13/2019,30.27,30.85,29.950001,30.690001,47758800,0.420001,0.013875157
9/16/2019,30.370001,31.15,30.26,30.83,52248500,0.459999,0.015146493
9/17/2019,31.07,31.32,30.74,30.99,35011700,-0.08,-0.002574831
9/18/2019,30.75,30.889999,29.879999,30.42,47027500,-0.33,-0.010731707
9/19/2019,30.57,30.959999,30.139999,30.290001,41603000,-0.279999,-0.009159274
9/20/2019,30.360001,30.469999,29.65,30.049999,79957400,-0.310002,-0.010210869
9/23/2019,30.120001,30.799999,30.07,30.639999,44366800,0.519998,0.017264209
9/24/2019,30.540001,30.75,29.290001,29.52,72963000,-1.020001,-0.033398853
9/25/2019,29.48,29.65,28.549999,29.540001,58234800,0.060001,0.002035312
9/26/2019,29.67,29.77,29,29.469999,40745400,-0.200001,-0.006740849
9/27/2019,29.17,29.77,28.35,28.719999,54091100,-0.450001,-0.015426843
9/30/2019,28.889999,29.049999,28.360001,28.99,37295600,0.100001,0.00346144
10/1/2019,29.049999,29.540001,28.639999,28.76,37081800,-0.289999,-0.009982754
10/2/2019,28.5,28.85,28.030001,28.309999,43640700,-0.190001,-0.006666702
10/3/2019,28.280001,28.780001,27.43,28.68,56325200,0.399999,0.014144236
10/4/2019,28.83,29.059999,28.280001,29.01,34446700,0.18,0.006243496
10/7/2019,28.9,29.629999,28.84,28.93,39337200,0.03,0.001038062
10/8/2019,28.549999,28.639999,27.92,28.23,44265700,-0.319999,-0.011208372
